Gene_combination	cell_line	condition	Class_label_sum	Correlation_dep	Class_label_dep	Label_Agreement	Correlation_corr	Class_label_corr	Class_label_exp
TPD52_TPD52L1	A375	2CP	no GI	0.0988845567667804	no GI	Agree	0.1634893674138514	no GI	GI
TPD52_TPD52L1	A375	2CP	no GI	0.0988845567667804	no GI	Agree	0.1634893674138514	no GI	GI
TPD52_TPD52L2	A375	2CP	no GI	0.0060291557924483	no GI	Agree	-0.0914560993846296	no GI	GI
TPD52_TPD52L2	A375	2CP	no GI	0.0060291557924483	no GI	Agree	-0.0914560993846296	no GI	GI
TPM1_TPM2	A375	2CP	no GI	0.0786560040803913	no GI	Agree	0.4688375551024822	no GI	no GI
TPM1_TPM2	A375	2CP	no GI	0.0786560040803913	no GI	Agree	0.4688375551024822	no GI	no GI
TPM1_TPM3	A375	2CP	no GI	0.070249721323282	no GI	Agree	0.225572622947663	no GI	no GI
TPM1_TPM3	A375	2CP	no GI	0.070249721323282	no GI	Agree	0.225572622947663	no GI	no GI
TPM2_TPM3	A375	2CP	no GI	0.1289335065739999	no GI	Agree	0.1381124237805417	no GI	GI
TPM2_TPM3	A375	2CP	no GI	0.1289335065739999	no GI	Agree	0.1381124237805417	no GI	GI
TPM2_TPM4	A375	2CP	no GI	0.1943011258360477	no GI	Agree	0.472218350377901	no GI	GI
TPM2_TPM4	A375	2CP	no GI	0.1943011258360477	no GI	Agree	0.472218350377901	no GI	GI
TPST1_TPST2	A375	2CP	no GI	0.0804502919770306	no GI	Agree	0.2440001755452843	no GI	GI
TPST1_TPST2	A375	2CP	no GI	0.0804502919770306	no GI	Agree	0.2440001755452843	no GI	GI
TRA2A_TRA2B	A375	2CP	no GI	-0.0099646264912313	no GI	Agree	0.3936393797171263	no GI	no GI
TRA2A_TRA2B	A375	2CP	no GI	-0.0099646264912313	no GI	Agree	0.3936393797171263	no GI	no GI
TRAF2_TRAF3	A375	2CP	no GI	0.5240634227621949	GI	Disagree	0.1956284312138502	no GI	no GI
TRAF2_TRAF3	A375	2CP	no GI	0.5240634227621949	GI	Disagree	0.1956284312138502	no GI	no GI
TRAF2_TRAF4	A375	2CP	no GI	-0.0162828841264989	no GI	Agree	0.2970114258479457	no GI	no GI
