	cell_line	condition	clone_id_test	combinatorial_avg_lfc	single_gene1_avg_lfc	single_gene2_avg_lfc	expression_gene1_batch_correct	expression_gene2_batch_correct	Class_label
62	A375	2CP	PBX1_PBX3_2	0.2559849336643585	0.34455658122607224	1.001071346016916	3.3801244833	1.4334609305	GI
63	A375	2CP	CLTC_CLTCL1_1	-3.184493451934302	-5.3449571520228645	-0.8023558750050706	7.0739825225	2.3903042577	GI
64	A375	2CP	CLTC_CLTCL1_2	-2.3722097904450368	-0.8023558750050706	-5.3449571520228645	2.3903042577	7.0739825225	GI
65	A375	2CP	KDELR1_KDELR2_1	-2.626604606787761	-0.6774855754821638	-0.14669162566548977	6.5890446366	6.2171481133	GI
66	A375	2CP	KDELR1_KDELR2_2	-4.269275438716809	-0.14669162566548977	-0.6774855754821638	6.2171481133	6.5890446366	GI
67	A375	2CP	AGO1_AGO4_1	-0.8061835078416579	-0.8148758126811373	-1.8165712896726318	3.616953872	2.7005051995	GI
68	A375	2CP	AGO1_AGO4_2	-0.007205192183845632	-1.8165712896726318	-0.8148758126811373	2.7005051995	3.616953872	GI
69	A375	2CP	NAPA_NAPB_1	-0.5102358736027552	-3.174747313769159	0.5729645166760147	5.8120154045	2.3124109163	GI
70	A375	2CP	NAPA_NAPB_2	0.053108248299551075	0.5729645166760147	-3.174747313769159	2.3124109163	5.8120154045	GI
71	A375	2CP	RAB8A_RAB8B_1	-1.3346022412366043	-1.7171787428767327	-1.6266363815941032	5.6813773942	3.2524137431	GI
72	A375	2CP	RAB8A_RAB8B_2	-1.6424189298321727	-1.6266363815941032	-1.7171787428767327	3.2524137431	5.6813773942	GI
73	A375	2CP	BTRC_FBXW11_1	-2.783584959070814	-0.31714301589137106	-0.48804608013145057	3.0274353193	5.2412765646	GI
74	A375	2CP	BTRC_FBXW11_2	-1.8384286273133492	-0.48804608013145057	-0.31714301589137106	5.2412765646	3.0274353193	GI
75	A375	2CP	VPS4A_VPS4B_1	-3.449456508075658	-0.9325006136187168	-0.16782141273764695	5.0735679481	4.569789049	GI
76	A375	2CP	VPS4A_VPS4B_2	-3.5629006100961833	-0.16782141273764695	-0.9325006136187168	4.569789049	5.0735679481	GI
77	A375	2CP	ARL5A_ARL5B_1	-2.0031467874480917	0.7810790796335794	-0.23033502270479533	3.8705958741	2.956286651	GI
78	A375	2CP	ARL5A_ARL5B_2	-2.3506398607290864	-0.23033502270479533	0.7810790796335794	2.956286651	3.8705958741	GI
79	A375	2CP	POLR2J_POLR2J2_1	-2.2191227536555798	-1.4658472705761303	1.5695482525573012	6.8247082489	1.0437604679	GI
80	A375	2CP	POLR2J_POLR2J2_2	-4.36278205169584	1.5695482525573012	-1.4658472705761303	1.0437604679	6.8247082489	GI
81	A375	2CP	AGO2_AGO4_1	-0.36493744852648025	-0.9448112674563942	-1.8165712896726318	3.6201997135	2.7005051995	GI
82	A375	2CP	AGO2_AGO4_2	-0.9259635608733148	-1.8165712896726318	-0.9448112674563942	2.7005051995	3.6201997135	GI
83	A375	2CP	STK3_STK4_1	1.2362106822604781	-0.2988224676903002	-0.9378339172388162	3.8814694635	4.4186692654	GI
84	A375	2CP	TLN1_TLN2_1	-1.7634541978273215	-2.949663744908096	-0.4631763958814368	6.3957009827	1.4190789445	GI
85	A375	2CP	TLN1_TLN2_2	-1.1930594807752897	-0.4631763958814368	-2.949663744908096	1.4190789445	6.3957009827	GI
86	A375	2CP	TMED4_TMED9_1	-1.1034883838318672	-0.015462101794069483	-0.004390805568584399	5.692435544	6.4611494601	GI
87	A375	2CP	TMED4_TMED9_2	-2.080648101136114	-0.004390805568584399	-0.015462101794069483	6.4611494601	5.692435544	GI
88	A375	2CP	CUL4A_CUL4B_1	-4.03098429972354	-1.2452360692321687	0.5529343043979567	6.0689004317	4.5324832979	GI
89	A375	2CP	CUL4A_CUL4B_2	-1.988132803722261	0.5529343043979567	-1.2452360692321687	4.5324832979	6.0689004317	GI
90	A375	2CP	MICA_MICB_1	1.0757234519218764	0.664536524141127	2.150066199923586	3.8312498618	2.6956346788	GI
91	A375	2CP	MICA_MICB_2	0.9914329361950607	2.150066199923586	0.664536524141127	2.6956346788	3.8312498618	GI
92	A375	2CP	LDHA_LDHB_1	-3.1571118923654646	-0.5805234823757415	0.3403766435199458	9.8018326055	10.2628570894	GI
93	A375	2CP	CNOT7_CNOT8_1	-4.769317020176972	0.478278167553861	-0.04393056897803427	5.0881773023	5.7017370024	GI
94	A375	2CP	CNOT7_CNOT8_2	-2.7466397462227965	-0.04393056897803427	0.478278167553861	5.7017370024	5.0881773023	GI
95	A375	2CP	CDK2_CDK3_1	0.6693114691452831	-1.624116134530948	0.7904940270696705	6.5212297941	2.0333774739	GI
96	A375	2CP	CDK2_CDK3_2	0.41004794517142296	0.7904940270696705	-1.624116134530948	2.0333774739	6.5212297941	GI
97	A375	2CP	HLA-C_HLA-E_1	0.32084043559031894	0.9833577756089329	0.1899064648252453	6.7376568592	5.9292486572	GI
98	A375	2CP	HLA-C_HLA-E_2	-0.6810982290915208	0.1899064648252453	0.9833577756089329	5.9292486572	6.7376568592	GI
99	A375	2CP	ABHD17A_ABHD17C_1	0.39745378923537356	0.4316400860422054	-3.755937054388167	3.6641208141	5.847069047	GI
100	A375	2CP	ABHD17A_ABHD17C_2	0.018621047829888493	-3.755937054388167	0.4316400860422054	5.847069047	3.6641208141	GI
101	A375	2CP	ABHD17B_ABHD17C_1	-0.07024119844910715	0.5607939491418681	-3.755937054388167	4.0263030567	5.847069047	GI
102	A375	2CP	ABHD17B_ABHD17C_2	-1.3122646345520463	-3.755937054388167	0.5607939491418681	5.847069047	4.0263030567	GI
103	A375	2CP	EZR_MSN_1	-0.6443591263421751	0.5130381150994412	0.5897392138572777	5.5364130057	7.2367854785	GI
104	A375	2CP	EZR_MSN_2	-0.8592786182378287	0.5897392138572777	0.5130381150994412	7.2367854785	5.5364130057	GI
105	A375	2CP	PARVA_PARVB_1	-1.2516536195932564	-0.17734740218325307	0.6749963731626276	3.3761249058	3.9175120705	GI
106	A375	2CP	PARVA_PARVB_2	-1.568275235978538	0.6749963731626276	-0.17734740218325307	3.9175120705	3.3761249058	GI
107	A375	2CP	CORO1B_CORO1C_2	-0.5575793292240752	-1.495870193058317	-0.3092676217483039	5.6801688281	6.2690419195	GI
108	A375	2CP	HARS1_HARS2_1	-1.9152904548849277	-3.437360280719058	-1.503699859394163	6.9481832363	5.6543725047	GI
109	A375	2CP	HARS1_HARS2_2	-2.7499026153707127	-1.503699859394163	-3.437360280719058	5.6543725047	6.9481832363	GI
110	A375	2CP	SSBP2_SSBP4_1	-1.0403263944376318	-0.5662975379318768	-1.7356689032945865	3.119514562	5.6248560402	GI
111	A375	2CP	SSBP2_SSBP4_2	-0.5715913037936584	-1.7356689032945865	-0.5662975379318768	5.6248560402	3.119514562	GI
112	A375	2CP	SAFB_SAFB2_1	-2.856977781148909	-3.435892628421852	-2.5823171141554186	6.0565324023	5.6590158819	GI
113	A375	2CP	CLCN3_CLCN5_1	-1.6695906426624627	0.4274700151095385	0.04029972795843206	4.1986080014	1.5439275589	GI
114	A375	2CP	CLCN3_CLCN5_2	-1.181099810188766	0.04029972795843206	0.4274700151095385	1.5439275589	4.1986080014	GI
115	A375	2CP	BIRC2_BIRC3_1	-2.349573468829903	0.36412914817435005	0.08619867424464389	5.188092692	0.5146934733	GI
116	A375	2CP	BIRC2_BIRC3_2	-1.9575562083951288	0.08619867424464389	0.36412914817435005	0.5146934733	5.188092692	GI
117	A375	2CP	RPL22_RPL22L1_1	-3.411682368265904	1.071994142039058	-1.350467774088652	8.2452385208	8.10219313	GI
118	A375	2CP	STAG1_STAG2_1	-4.762148594160745	-0.16725939476622953	-0.18734653136088908	4.1247782598	5.0810452721	GI
119	A375	2CP	STAG1_STAG2_2	-3.854219264440909	-0.18734653136088908	-0.16725939476622953	5.0810452721	4.1247782598	GI
120	A375	2CP	TFCP2_UBP1_1	-2.0045953307111306	-0.472572837242061	-0.5920759915104417	4.4416760722	5.6110992235	GI
121	A375	2CP	TFCP2_UBP1_2	-4.557448423692893	-0.5920759915104417	-0.472572837242061	5.6110992235	4.4416760722	GI
122	A375	2CP	ATP6V0E1_ATP6V0E2_1	-0.593160113964371	1.5984435574246458	0.31271420633530744	6.5285534507	4.412715659	GI
123	A375	2CP	ATP6V0E1_ATP6V0E2_2	-1.0134235704487868	0.31271420633530744	1.5984435574246458	4.412715659	6.5285534507	GI
124	A375	2CP	YTHDF1_YTHDF3_1	0.7742592169583684	-1.2450287067501895	0.20354509257730302	4.9757472631	4.8157715799	GI
125	A375	2CP	YTHDF1_YTHDF3_2	1.7494831001891997	0.20354509257730302	-1.2450287067501895	4.8157715799	4.9757472631	GI
126	A375	2CP	SEPHS1_SEPHS2_1	-2.164324794349308	0.3027479479219759	-0.9865265757330706	5.4349734827	6.3843298095	GI
127	A375	2CP	SEPHS1_SEPHS2_2	-2.151363410772054	-0.9865265757330706	0.3027479479219759	6.3843298095	5.4349734827	GI
128	A375	2CP	CLASP1_CLASP2_1	-5.135052018427205	-0.28410499875810036	-1.0993337934078455	4.2837307382	3.9160270269	GI
129	A375	2CP	CLASP1_CLASP2_2	-2.8690944613375953	-1.0993337934078455	-0.28410499875810036	3.9160270269	4.2837307382	GI
130	A375	2CP	FYN_SRC_1	-1.3106804887751946	-0.3028671850085951	-1.7976198924917905	5.2161897609	4.7473070456	GI
131	A375	2CP	FYN_SRC_2	-0.05053180519341227	-1.7976198924917905	-0.3028671850085951	4.7473070456	5.2161897609	GI
132	A375	2CP	STRIP1_STRIP2_1	-1.9686455244457983	-0.44554389279996265	-0.21175887955062578	3.9158651486	1.8354845701	GI
133	A375	2CP	STRIP1_STRIP2_2	-2.627258877240928	-0.21175887955062578	-0.44554389279996265	1.8354845701	3.9158651486	GI
134	A375	2CP	PABPC1_PABPC1L_1	-1.8129075222306863	-2.8255348490428016	-0.059923251351698736	9.3943235952	5.7212828189	GI
135	A375	2CP	PABPC1_PABPC1L_2	-0.5448486563541008	-0.059923251351698736	-2.8255348490428016	5.7212828189	9.3943235952	GI
136	A375	2CP	ARPC5_ARPC5L_1	-2.713555445844306	0.42092888483972346	-0.944449376554293	7.1153920586	6.0284731229	GI
137	A375	2CP	ARPC5_ARPC5L_2	-1.3806643495557305	-0.944449376554293	0.42092888483972346	6.0284731229	7.1153920586	GI
138	A375	2CP	ADIPOR1_ADIPOR2_1	-1.7273602410786166	-0.303270279362428	0.13575061881398054	6.7900180861	5.4675501704	GI
139	A375	2CP	ADIPOR1_ADIPOR2_2	-1.6658876231546862	0.13575061881398054	-0.303270279362428	5.4675501704	6.7900180861	GI
140	A375	2CP	SPIN3_SPIN4_1	-0.15635498152749872	1.49964306531452	-0.028927591030225797	3.5314483795	2.4803794252	GI
141	A375	2CP	SPIN3_SPIN4_2	0.11418761088872253	-0.028927591030225797	1.49964306531452	2.4803794252	3.5314483795	GI
142	A375	2CP	CHD3_CHD4_1	-4.878197617682006	-1.5070693033777642	-4.27082745768314	5.657544761	7.5863861407	GI
143	A375	2CP	CHD3_CHD4_2	-2.6042370865879088	-4.27082745768314	-1.5070693033777642	7.5863861407	5.657544761	GI
144	A375	2CP	ARL4A_ARL4C_1	0.06454079518274236	-1.5447195798889672	-0.8787003018489365	3.986326476	2.9727762206	GI
145	A375	2CP	ARL4A_ARL4C_2	-1.1220207396060506	-0.8787003018489365	-1.5447195798889672	2.9727762206	3.986326476	GI
146	A375	2CP	PDS5A_PDS5B_1	-5.048306999808614	-0.8578500855112465	0.6556628397252919	4.9981026336	4.236413808	GI
147	A375	2CP	PDS5A_PDS5B_2	-2.060296985381206	0.6556628397252919	-0.8578500855112465	4.236413808	4.9981026336	GI
148	A375	2CP	ZNF430_ZNF675_2	0.06052856624018066	1.0268624069484087	0.7366632173322216	3.0325677794	2.7539593816	GI
149	A375	2CP	MAGT1_TUSC3_1	-0.5127057485295206	0.7942249769085505	1.0374820561976965	4.5320900401	5.6329517074	GI
150	A375	2CP	MAGT1_TUSC3_2	-0.7763245560232384	1.0374820561976965	0.7942249769085505	5.6329517074	4.5320900401	GI
151	A375	2CP	ZNF254_ZNF93_1	-1.1390680953435641	0.10646950710789183	0.8343590736617899	3.4231711777	2.5419654877	GI
152	A375	2CP	ZNF254_ZNF93_2	0.11996467722627635	0.8343590736617899	0.10646950710789183	2.5419654877	3.4231711777	GI
153	A375	2CP	CDC42_RHOQ_1	-1.4563207386485628	-1.428256450433059	-2.6404478277142758	7.7420585296	3.8391907834	GI
154	A375	2CP	CDC42_RHOQ_2	-1.0009452705918624	-2.6404478277142758	-1.428256450433059	3.8391907834	7.7420585296	GI
155	A375	2CP	ZNF273_ZNF430_2	0.2591690417685477	0.7366632173322216	1.3643433111170982	2.7539593816	2.0028439353	GI
156	A375	2CP	CDK1_CDK2_2	-4.052131008674005	-1.624116134530948	-4.249798970617359	6.5212297941	6.3735286635	GI
157	A375	2CP	DOCK1_DOCK5_1	-2.152252890741403	0.8129210468267005	-0.5763114274960461	4.2241051308	3.9807027741	GI
158	A375	2CP	DOCK1_DOCK5_2	-1.2325697747847446	-0.5763114274960461	0.8129210468267005	3.9807027741	4.2241051308	GI
159	A375	2CP	DYNC1LI1_DYNC1LI2_1	-2.9158478546362394	-1.1369889225030554	-0.025786489477650942	5.427972062	5.8086851255	GI
160	A375	2CP	DYNC1LI1_DYNC1LI2_2	-2.3664395053474125	-0.025786489477650942	-1.1369889225030554	5.8086851255	5.427972062	GI
161	A375	2CP	DDX17_DDX5_1	-5.411612767309532	-1.2721248461506205	-3.0753920323494324	6.2991151998	8.3841802237	GI
162	A375	2CP	DDX17_DDX5_2	-7.010887187491229	-3.0753920323494324	-1.2721248461506205	8.3841802237	6.2991151998	GI
163	A375	2CP	SLC25A28_SLC25A37_1	-2.387281448074731	-0.965721739244467	-0.2617674324136592	3.8154924203	4.9419369062	GI
164	A375	2CP	SLC25A28_SLC25A37_2	-3.196863421787445	-0.2617674324136592	-0.965721739244467	4.9419369062	3.8154924203	GI
165	A375	2CP	RALGPS1_RALGPS2_1	-1.944201642419694	-1.6138482364782474	-1.3764144031717913	0.9909275879	3.5551108204	GI
166	A375	2CP	RALGPS1_RALGPS2_2	-0.8711164217513261	-1.3764144031717913	-1.6138482364782474	3.5551108204	0.9909275879	GI
167	A375	2CP	ZNF273_ZNF675_1	1.1074756127741137	1.3643433111170982	1.0268624069484087	2.0028439353	3.0325677794	GI
168	A375	2CP	ZNF273_ZNF675_2	0.6661680061797681	1.0268624069484087	1.3643433111170982	3.0325677794	2.0028439353	GI
169	A375	2CP	FERMT1_FERMT2_1	-2.2364439575862503	0.8792287163672599	-1.2931518430576658	3.6036241546	3.9103057528	GI
170	A375	2CP	FERMT1_FERMT2_2	-2.2403441014904195	-1.2931518430576658	0.8792287163672599	3.9103057528	3.6036241546	GI
171	A375	2CP	PTPRA_PTPRE_1	0.8337447110423604	-1.2979609225112276	-1.1319727824183266	4.8322872581	0.7017556723	GI
172	A375	2CP	PTPRA_PTPRE_2	-1.4482300297328696	-1.1319727824183266	-1.2979609225112276	0.7017556723	4.8322872581	GI
173	A375	2CP	ITPR1_ITPR3_1	-0.31602073666158503	-1.0596776372904622	-0.5411180647296767	2.5820331366	4.3528018641	GI
174	A375	2CP	ITPR1_ITPR3_2	0.2712122507516761	-0.5411180647296767	-1.0596776372904622	4.3528018641	2.5820331366	GI
175	A375	2CP	NLN_THOP1_1	-0.1489293807940535	-1.4995247144668615	-0.45831305354826557	3.4102367647	5.6196434213	GI
176	A375	2CP	NLN_THOP1_2	-0.4699980789754403	-0.45831305354826557	-1.4995247144668615	5.6196434213	3.4102367647	GI
177	A375	2CP	PPIP5K1_PPIP5K2_1	-1.8455633298191878	-1.8311738670199416	-1.9417516910251946	3.0978795507	4.3734011104	GI
178	A375	2CP	PPIP5K1_PPIP5K2_2	-0.9342039070547044	-1.9417516910251946	-1.8311738670199416	4.3734011104	3.0978795507	GI
179	A375	2CP	SNRPA_SNRPB2_1	-3.601247984012186	-2.0732447234516744	-4.272493170657315	6.8508777349	8.1655779901	GI
180	A375	2CP	SNRPA_SNRPB2_2	-2.2439570820262817	-4.272493170657315	-2.0732447234516744	8.1655779901	6.8508777349	GI
181	A375	2CP	PFN1_PFN2_1	-4.303804668177973	-1.2281575688174469	0.8095945151407042	10.5253961528	7.5045281943	GI
182	A375	2CP	PFN1_PFN2_2	-3.229002233389121	0.8095945151407042	-1.2281575688174469	7.5045281943	10.5253961528	GI
183	A375	2CP	ITCH_WWP1_1	-3.136926639459023	-2.504321416767504	-2.0941066672070194	4.7187297697	3.6699249471	GI
184	A375	2CP	ITCH_WWP1_2	-2.0126900690288254	-2.0941066672070194	-2.504321416767504	3.6699249471	4.7187297697	GI
185	A375	2CP	VAPA_VAPB_1	-2.179276859937767	-0.7736898383595954	0.6585841377851323	6.1417342125	4.3472550259	GI
186	A375	2CP	VAPA_VAPB_2	-2.337047148203465	0.6585841377851323	-0.7736898383595954	4.3472550259	6.1417342125	GI
187	A375	2CP	PAPOLA_PAPOLG_1	-4.514294038129082	-2.264408795531614	-0.5584128235582186	5.5909242023	2.4270691399	GI
188	A375	2CP	PAPOLA_PAPOLG_2	-5.6453295801980765	-0.5584128235582186	-2.264408795531614	2.4270691399	5.5909242023	GI
189	A375	2CP	ZNF506_ZNF93_1	0.7101829213036379	1.1653378917042463	0.8343590736617899	3.1643148458	2.5419654877	GI
190	A375	2CP	ZNF506_ZNF93_2	-0.5538782306591323	0.8343590736617899	1.1653378917042463	2.5419654877	3.1643148458	GI
191	A375	2CP	CEPT1_CHPT1_1	-3.2629936021862003	-0.7853471991332113	0.43247157815907467	3.8622296179	5.7249031234	GI
192	A375	2CP	CEPT1_CHPT1_2	-3.099308101767338	0.43247157815907467	-0.7853471991332113	5.7249031234	3.8622296179	GI
193	A375	2CP	USP13_USP5_1	-3.470720833731672	-0.009987900178521025	-4.774519596161769	3.6004020095	6.1309553534	GI
194	A375	2CP	USP13_USP5_2	-1.1921491537026596	-4.774519596161769	-0.009987900178521025	6.1309553534	3.6004020095	GI
195	A375	2CP	MTHFD1_MTHFD1L_1	-3.5913204895330892	-4.821213419165028	-0.6515747328128558	6.3269822574	5.045590889	GI
196	A375	2CP	MTHFD1_MTHFD1L_2	-2.576324217772416	-0.6515747328128558	-4.821213419165028	5.045590889	6.3269822574	GI
197	A375	2CP	ANKRD28_ANKRD52_1	-1.3024107319662352	-1.1805400329219309	-1.6041646184323255	5.0840089392	4.7688732452	GI
198	A375	2CP	ANKRD28_ANKRD52_2	-1.3863564293448998	-1.6041646184323255	-1.1805400329219309	4.7688732452	5.0840089392	GI
199	A375	2CP	NEDD4_NEDD4L_1	-4.526959428603558	-1.206295010542799	-4.68814410437083	4.1489316262	5.6243466799	GI
200	A375	2CP	NEDD4_NEDD4L_2	-2.95961126697038	-4.68814410437083	-1.206295010542799	5.6243466799	4.1489316262	GI
