Unnamed: 0	cell_line	condition	Gene_combination	combinatorial_avg_lfc	single_gene1_avg_lfc	single_gene2_avg_lfc	expression_gene1_batch_correct	expression_gene2_batch_correct	Class_label_sum	dep_Correlation	Euclidean_distance_dep	Gene1_dep_score	Gene2_dap_score	expre_Correlation	Euclidean_distance_expresstion	Gene1_expression	Gene2_expression	Euclidean_distance_dm	Gene1_damage_mutation	Gene2_damage_mutation
0	A375	2CP	AAK1_BMP2K	-1.3231466433597383	-0.9863845486214724	-0.5248125582675736	2.6785024635	1.9083138252	no GI	-0.013799487419403046	0.04480489650042899	-0.1700446260557276	-0.1252397295552986	0.1596153337872827	0.7701886383062988	2.6785024635474	1.9083138252411012	0.0	0.0	0.0
1	A375	2CP	AARS1_AARS2	-4.733963354851991	-4.55778522827201	-2.98213436862143	7.2640649455	3.454372599	lol	0.0024420211547469504	1.0472544120991414	-1.8146413380428577	-0.7673869259437163	0.13282053893147877	3.809692346501086	7.264064945474183	3.4543725989730967	0.0	0.0	0.0
2	A375	2CP	ABCA2_ABCA3	0.2341135850838678	-0.0054484731632304	-0.7179691620040924	4.1843545341	0.0947425476	no GI	0.05872430570761756	0.11703175675440079	0.0800634210862488	0.1970951778406496	0.326935014438544	4.0896119864921	4.1843545340990325	0.0947425476069319	0.0	0.0	0.0
3	A375	2CP	ABCA2_ABCA7	-0.2285539675099688	-0.0054484731632304	0.1414338713922764	4.1843545341	1.7045537052	no GI	0.1301269460891406	0.10289209248819879	0.0800634210862488	0.1829555135744476	0.08617422341448087	2.479800828926253	4.1843545340990325	1.7045537051727793	0.0	0.0	0.0
4	A375	2CP	ABCA3_ABCA7	-0.5407744420819665	-0.7179691620040924	0.1414338713922764	0.0947425476	1.7045537052	no GI	0.08351246989866301	0.014139664266202001	0.1970951778406496	0.1829555135744476	0.0633699937697848	1.6098111575658474	0.0947425476069319	1.7045537051727793	0.0	0.0	0.0
5	A375	2CP	ABCB10_ABCB8	-0.952027011142333	-2.0209895624575243	0.480443182113941	3.8335634038	4.3952419071	no GI	0.11765464184801118	0.033215049502230996	0.0286764612763905	0.0618915107786215	0.11572706890508823	0.5616785033498459	3.833563403797199	4.395241907147045	0.0	0.0	0.0
6	A375	2CP	ABCB10_ABCB9	-0.8256133003132409	-2.0209895624575243	0.3361085677605846	3.8335634038	4.3192439941	no GI	-0.0008114058644085043	0.0912864936118995	0.0286764612763905	0.11996295488829	-0.0013497781203372907	0.4856805903395891	3.833563403797199	4.319243994136788	0.0	0.0	0.0
7	A375	2CP	ABCB10_TAP2	-0.7614091271011845	-2.0209895624575243	0.0653246625696595	3.8335634038	5.2129933995	no GI	0.03194432066646849	0.08301915219347891	0.0286764612763905	0.1116956134698694	-0.03577252765136185	1.3794299956752862	3.833563403797199	5.212993399472485	0.0	0.0	0.0
8	A375	2CP	ABCB6_ABCB7	-3.883492470499084	0.2536731279350928	-2.7778170287707	4.3513172931	3.9991974491	no GI	0.048579046133191806	1.423717448664897	-0.0582153564861514	-1.4819328051510483	-0.05884264638889021	0.3521198439939228	4.3513172931279644	3.9991974491340416	0.0	0.0	0.0
9	A375	2CP	ABCB8_TAP2	0.882591849660137	0.480443182113941	0.0653246625696595	4.3952419071	5.2129933995	no GI	0.047596685097576495	0.04980410269124791	0.0618915107786215	0.1116956134698694	0.058978765406027985	0.8177514923254403	4.395241907147045	5.212993399472485	0.0	0.0	0.0
10	A375	2CP	ABCB9_TAP1	-0.2069304774480378	0.3361085677605846	0.0435842393013703	4.3192439941	4.1724573578	no GI	-0.03366218177023598	0.08384540556753359	0.11996295488829	0.0361175493207564	-0.00938547016242762	0.1467866363149648	4.319243994136788	4.172457357821823	0.0	0.0	0.0
11	A375	2CP	ABCB9_TAP2	0.5271832827989031	0.3361085677605846	0.0653246625696595	4.3192439941	5.2129933995	no GI	0.022916307058885085	0.008267341418420587	0.11996295488829	0.1116956134698694	0.0494001139304476	0.8937494053356971	4.319243994136788	5.212993399472485	0.0	0.0	0.0
12	A375	2CP	ABCC10_ABCC4	-0.9435222858461968	0.2586545969327516	-1.0076413971763905	3.0711341648	3.5579338425	no GI	-0.012359214886832282	0.2310705390610038	-0.096571914056988	0.1344986250040158	-0.06542787655686148	0.48679967769418475	3.071134164765289	3.557933842459474	0.0	0.0	0.0
13	A375	2CP	ABCC1_ABCC3	-0.6302692877021778	-0.5037893715098118	-1.221428160453934	4.018191716	2.2780731127	no GI	0.01658841271327982	0.058693554219329105	0.0884437278047763	0.0297501735854472	0.29358549041413623	1.74011860331753	4.0181917159783	2.2780731126607696	0.0	0.0	0.0
14	A375	2CP	ABCC4_ABCC5	-0.9689725164387092	-1.0076413971763905	-0.50608217146604	3.5579338425	3.8235228481	no GI	0.010316500053119943	0.0372380743409976	0.1344986250040158	0.0972605506630182	0.026393565962506152	0.2655890056502459	3.557933842459474	3.82352284810972	0.0	0.0	0.0
15	A375	2CP	ABCD1_ABCD3	-0.4427672673210685	1.383836198061893	-0.5539201163623768	3.3092224762	4.7774630673	no GI	-0.020134978955172016	0.225365690016325	-0.2050241080943175	0.0203415819220075	0.18081308316804354	1.4682405910961664	3.309222476221912	4.777463067318078	0.0	0.0	0.0
16	A375	2CP	ABCF1_ABCF3	-2.8922722446851776	-4.44764800486377	0.2951875431599247	5.8490587272	4.6478114131	no GI	-0.04019889772720121	1.4137609241670803	-1.165950758579246	0.2478101655878345	0.3681591427403796	1.2012473140838908	5.849058727159351	4.64781141307546	0.0	0.0	0.0
