	cell_line	condition	Gene_combination	combinatorial_avg_lfc	single_gene1_avg_lfc	single_gene2_avg_lfc	expression_gene1_batch_correct	expression_gene2_batch_correct	Class_label
0	A375	2CP	AAK1_BMP2K	-1.3231466433597383	-0.9863845486214724	-0.5248125582675736	2.6785024635	1.9083138252	no GI
1	A375	2CP	AARS1_AARS2	-4.733963354851991	-4.55778522827201	-2.98213436862143	7.2640649455	3.454372599	lol
2	A375	2CP	ABCA2_ABCA3	0.23411358508386781	-0.005448473163230494	-0.7179691620040924	4.1843545341	0.0947425476	no GI
3	A375	2CP	ABCA2_ABCA7	-0.22855396750996881	-0.005448473163230494	0.14143387139227648	4.1843545341	1.7045537052	no GI
4	A375	2CP	ABCA3_ABCA7	-0.5407744420819665	-0.7179691620040924	0.14143387139227648	0.0947425476	1.7045537052	no GI
5	A375	2CP	ABCB10_ABCB8	-0.952027011142333	-2.0209895624575243	0.480443182113941	3.8335634038	4.3952419071	no GI
6	A375	2CP	ABCB10_ABCB9	-0.8256133003132409	-2.0209895624575243	0.3361085677605846	3.8335634038	4.3192439941	no GI
7	A375	2CP	ABCB10_TAP2	-0.7614091271011845	-2.0209895624575243	0.06532466256965952	3.8335634038	5.2129933995	no GI
8	A375	2CP	ABCB6_ABCB7	-3.8834924704990836	0.2536731279350928	-2.7778170287707	4.3513172931	3.9991974491	no GI
9	A375	2CP	ABCB8_TAP2	0.882591849660137	0.480443182113941	0.06532466256965952	4.3952419071	5.2129933995	no GI
10	A375	2CP	ABCB9_TAP1	-0.20693047744803783	0.3361085677605846	0.04358423930137034	4.3192439941	4.1724573578	no GI
11	A375	2CP	ABCB9_TAP2	0.5271832827989031	0.3361085677605846	0.06532466256965952	4.3192439941	5.2129933995	no GI
12	A375	2CP	ABCC10_ABCC4	-0.9435222858461969	0.2586545969327516	-1.0076413971763905	3.0711341648	3.5579338425	no GI
13	A375	2CP	ABCC1_ABCC3	-0.6302692877021778	-0.5037893715098118	-1.2214281604539339	4.018191716	2.2780731127	no GI
14	A375	2CP	ABCC4_ABCC5	-0.9689725164387093	-1.0076413971763905	-0.50608217146604	3.5579338425	3.8235228481	no GI
15	A375	2CP	ABCD1_ABCD3	-0.4427672673210685	1.383836198061893	-0.5539201163623768	3.3092224762	4.7774630673	no GI
16	A375	2CP	ABCF1_ABCF3	-2.8922722446851776	-4.44764800486377	0.2951875431599247	5.8490587272	4.6478114131	no GI
17	A375	2CP	ABHD14A_ABHD14B	0.18348953473631457	1.1388248532495029	-0.3698809655098336	3.747128591	6.3000803069	no GI
18	A375	2CP	ABHD16A_ABHD16B	0.9922581106014343	-0.7429557599680243	1.8092609822614358	3.8634470791	0.0620622943	no GI
19	A375	2CP	ABHD17A_ABHD17B	0.32330171161368915	0.4316400860422054	0.5607939491418681	3.6641208141	4.0263030567	no GI
20	A375	2CP	ABHD17A_ABHD17C	0.20803741853263102	0.4316400860422054	-3.755937054388167	3.6641208141	5.847069047	GI
21	A375	2CP	ABHD17B_ABHD17C	-0.6912529165005767	0.5607939491418681	-3.755937054388167	4.0263030567	5.847069047	GI
22	A375	2CP	ABHD4_ABHD5	-0.27747263234965436	0.5211264277500014	-0.6930820141572267	2.7059249523	3.8490614194	no GI
23	A375	2CP	ABI1_ABI2	-2.0422104640471987	-0.6207108961682843	-0.5564818187153537	3.688640277	4.6267149977	no GI
24	A375	2CP	ABL1_ABL2	-0.05816731786913287	0.45490588944924215	-1.3875497461665864	4.7192896809	4.255015326	no GI
25	A375	2CP	ABLIM1_ABLIM3	-0.517566076270694	-0.2876932344946579	-0.9558530362664108	2.3791506982	2.6618508755	no GI
26	A375	2CP	ABLIM1_DMTN	0.08641043582004304	-0.2876932344946579	-0.21143567295933852	2.3791506982	0.4115597024	no GI
27	A375	2CP	ABR_BCR	-0.44815507368866037	-0.3871235875504766	0.12853348735120784	5.8931689916	2.6775413694	no GI
28	A375	2CP	ACAA1_ACAA2	0.31103773985509164	0.2004376438932276	-1.9508394903688204	4.6952584585	5.0087013241	GI
29	A375	2CP	ACAA1_ACAT1	-2.009917687741524	-1.9508394903688204	-0.32960748695642117	5.0087013241	6.1165838543	no GI
30	A375	2CP	ACAA1_ACAT2	-0.7119733941959925	-1.9508394903688204	0.905539391297711	5.0087013241	5.5318683514	no GI
31	A375	2CP	ACAA1_HADHB	-0.8899931779147748	-1.9508394903688204	-0.4878376572095653	5.0087013241	6.0461389171	no GI
32	A375	2CP	ACAA2_ACAT1	-0.29344069220059144	0.2004376438932276	-0.32960748695642117	4.6952584585	6.1165838543	no GI
33	A375	2CP	ACAA2_ACAT2	0.2801027789311026	0.2004376438932276	0.905539391297711	4.6952584585	5.5318683514	no GI
34	A375	2CP	ACAA2_HADHB	0.015382684681098935	0.2004376438932276	-0.4878376572095653	4.6952584585	6.0461389171	no GI
35	A375	2CP	ACAD10_ACAD11	-0.570769843338552	0.008186455475805765	-0.03311178523321279	3.7828000023	3.0806051691	no GI
36	A375	2CP	ACAD8_ACADM	-0.6108787708720773	0.14829062583873442	-0.6117778575073862	4.2415338037	5.3620036629	no GI
37	A375	2CP	ACAD8_ACADS	0.49262968642071914	0.14829062583873442	-0.40424025715886414	4.2415338037	2.5018541973	no GI
38	A375	2CP	ACAD8_ACADSB	0.518651042627126	0.14829062583873442	0.7117875388563817	4.2415338037	2.8409856008	no GI
39	A375	2CP	ACAD8_IVD	-0.8226014446878849	0.14829062583873442	-1.2886439386816273	4.2415338037	4.7032834348	no GI
